Size, Selection Sort, Insertion Sort, Bubble Sort, Shell Sort
1000, 0.001533, 0.001114, 0.003501, 0.000163
2000, 0.005915, 0.004230, 0.014415, 0.000320
3000, 0.012135, 0.007356, 0.026364, 0.000537
4000, 0.020845, 0.012725, 0.051663, 0.000713
5000, 0.033975, 0.020542, 0.080874, 0.000996
6000, 0.046794, 0.039081, 0.155822, 0.001179
7000, 0.064023, 0.039685, 0.168608, 0.001380
8000, 0.086529, 0.066688, 0.227847, 0.001734
9000, 0.110207, 0.068667, 0.300207, 0.001837
10000, 0.132373, 0.082424, 0.378366, 0.002210
11000, 0.164722, 0.096598, 0.457371, 0.002409
12000, 0.196762, 0.115374, 0.524235, 0.002664
13000, 0.225177, 0.135465, 0.612597, 0.002767
14000, 0.257286, 0.160681, 0.718026, 0.003040
15000, 0.292837, 0.180595, 0.828699, 0.003302
16000, 0.334056, 0.206144, 0.976979, 0.003829
17000, 0.375988, 0.231543, 1.081918, 0.003840
18000, 0.422426, 0.259345, 1.268559, 0.004818
19000, 0.497251, 0.300902, 1.402589, 0.004956
20000, 0.562381, 0.329377, 1.654873, 0.004904
